userName,at,content,score,thumbsUpCount,content_processed_FINAL,tokenize_review,no_symbol,label
YT•RIZ GANT OFFICIAL,10/21/2025 15:36,game nya susah banget anj cuman buat login bikin akun di persulit game konfl,1,0,game susah banget anjing cuman login akun sulit game konfl,"['game', 'susah', 'banget', 'anjing', 'cuman', 'login', 'akun', 'sulit', 'game', 'konfl']","['game', 'susah', 'banget', 'anjing', 'cuman', 'login', 'akun', 'sulit', 'game', 'konfl']",negative
Muhamad Rayhan Al Fazry,10/6/2025 14:29,game hebat,5,0,game hebat,"['game', 'hebat']","['game', 'hebat']",positive
muhammad ridho official,10/21/2025 14:42,not good,1,0,not good,"['not', 'good']","['not', 'good']",negative
Fatur Rahman,10/21/2025 13:56,bagus,5,0,bagus,['bagus'],['bagus'],positive
rmdn ballboy,10/21/2025 13:23,"i really love this game but i'm always disappointed with the system. i can't log in using data/wifi, it often disconnects, and i get banned for no reason.",1,0,really love this game but im always disappointed with the system cant login in using datawifi it often disconnects and get banned for no reason,"['really', 'love', 'this', 'game', 'but', 'im', 'always', 'disappointed', 'with', 'the', 'system', 'cant', 'login', 'in', 'using', 'datawifi', 'it', 'often', 'disconnects', 'and', 'get', 'banned', 'for', 'no', 'reason']","['really', 'love', 'this', 'game', 'but', 'im', 'always', 'disappointed', 'with', 'the', 'system', 'cant', 'login', 'in', 'using', 'datawifi', 'it', 'often', 'disconnects', 'and', 'get', 'banned', 'for', 'no', 'reason']",negative
kaji erorr,10/21/2025 12:55,geme anj,5,0,geme anjing,"['geme', 'anjing']","['geme', 'anjing']",positive
Achmad Sayy,10/21/2025 12:13,ini game susah banget dh masuk nya harus bnyak sabar masuk doang ke dalam game susah bangeetttttt,1,0,game susah banget masuk bnyak sabar masuk doang game susah bangeetttttt,"['game', 'susah', 'banget', 'masuk', 'bnyak', 'sabar', 'masuk', 'doang', 'game', 'susah', 'bangeetttttt']","['game', 'susah', 'banget', 'masuk', 'bnyak', 'sabar', 'masuk', 'doang', 'game', 'susah', 'bangeetttttt']",negative
Fubuki,10/21/2025 11:51,banyak player casino dan bot,1,1,player casino bot,"['player', 'casino', 'bot']","['player', 'casino', 'bot']",negative
Natalia Nini,10/21/2025 11:46,i love gt,5,0,love,['love'],['love'],positive
cecok deps,10/21/2025 11:26,"gamenya suka ngeban orang tanpa alasan yang jelas, mohon perbaiki",1,0,gamenya suka ngeban orang alas mohon baik,"['gamenya', 'suka', 'ngeban', 'orang', 'alas', 'mohon', 'baik']","['gamenya', 'suka', 'ngeban', 'orang', 'alas', 'mohon', 'baik']",negative
Aditya Pernando,10/21/2025 10:41,game rusak banyak bot ketimbang player. player yang asli malah kaga di urus,1,0,game rusak bot ketimbang player player asli kaga urus,"['game', 'rusak', 'bot', 'ketimbang', 'player', 'player', 'asli', 'kaga', 'urus']","['game', 'rusak', 'bot', 'ketimbang', 'player', 'player', 'asli', 'kaga', 'urus']",negative
kyandra anjayy,10/21/2025 8:13,"bro i hate this game, i can't login, when i try to login it's say ""try to login again"" tf u mean i already try 1000x cmon bruh fix this dumb ahh game",1,0,bro hate this game cant login when try to login its say try to login again tf mean already try cmon bruh fix this dumb ahh game,"['bro', 'hate', 'this', 'game', 'cant', 'login', 'when', 'try', 'to', 'login', 'its', 'say', 'try', 'to', 'login', 'again', 'tf', 'mean', 'already', 'try', 'cmon', 'bruh', 'fix', 'this', 'dumb', 'ahh', 'game']","['bro', 'hate', 'this', 'game', 'cant', 'login', 'when', 'try', 'to', 'login', 'its', 'say', 'try', 'to', 'login', 'again', 'tf', 'mean', 'already', 'try', 'cmon', 'bruh', 'fix', 'this', 'dumb', 'ahh', 'game']",negative
Bapak Gue,10/21/2025 7:53,"game ini mempunyai sistem banned yang buruk bayangin aja lagi enak enak jual world tiba tiba akun ke suspend dengan alasan ""spamming"" padahal saya cuma ngetik setiap 30 detik sekali enggak nyepam,terus pas hubungin cs katanya ""ban ini valid"" valid dari hongkong",1,0,game sistem banned buruk bayangin enak enak jual world akun suspend alas spamming ngetik detik nyepamterus pas hubungin cs ban valid valid hongkong,"['game', 'sistem', 'banned', 'buruk', 'bayangin', 'enak', 'enak', 'jual', 'world', 'akun', 'suspend', 'alas', 'spamming', 'ngetik', 'detik', 'nyepamterus', 'pas', 'hubungin', 'cs', 'ban', 'valid', 'valid', 'hongkong']","['game', 'sistem', 'banned', 'buruk', 'bayangin', 'enak', 'enak', 'jual', 'world', 'akun', 'suspend', 'alas', 'spamming', 'ngetik', 'detik', 'nyepamterus', 'pas', 'hubungin', 'cs', 'ban', 'valid', 'valid', 'hongkong']",negative
Aflaha Mukmin S,10/21/2025 7:31,terkena ban tanpa alasan.,1,0,kena ban alas,"['kena', 'ban', 'alas']","['kena', 'ban', 'alas']",negative
Faiz Naufal,10/21/2025 4:58,server not godd,1,0,server not godd,"['server', 'not', 'godd']","['server', 'not', 'godd']",negative
Zaidan,10/21/2025 2:25,server jembot,1,0,server jembot,"['server', 'jembot']","['server', 'jembot']",negative
Mohamad Sudar,10/21/2025 2:14,"semakin lama, semakin gak bisa login gak ngerti lagi sama ubisoft apa indonesia sudah tidak boleh memainkan growtopia? padahal dulu lancar-lancar saja jika mau bermain growtopia kenapa sekarang susah banget ya",1,0,login ngerti ubisoft indonesia main lancarlancar main susah banget,"['login', 'ngerti', 'ubisoft', 'indonesia', 'main', 'lancarlancar', 'main', 'susah', 'banget']","['login', 'ngerti', 'ubisoft', 'indonesia', 'main', 'lancarlancar', 'main', 'susah', 'banget']",negative
Abraham Panjaitan,10/21/2025 2:00,saya menonton iklan 3x untuk pet battle heal dan saya tidak mendapat kan reward nya,1,8,tonton iklan pet battle heal reward,"['tonton', 'iklan', 'pet', 'battle', 'heal', 'reward']","['tonton', 'iklan', 'pet', 'battle', 'heal', 'reward']",negative
Iyan_7,10/20/2025 20:09,streess pas log drama mulu,1,0,streess pas login drama mulu,"['streess', 'pas', 'login', 'drama', 'mulu']","['streess', 'pas', 'login', 'drama', 'mulu']",negative
