userName,at,content,score,thumbsUpCount,content_processed_FINAL
YT•RIZ GANT OFFICIAL,10/21/2025 15:36,game nya susah banget anj cuman buat login bikin akun di persulit game konfl,1,0,game susah banget anjing cuman login akun sulit game konfl
Bang Rama,10/21/2025 14:57,🤑,5,0,
muhammad ridho official,10/21/2025 14:42,not good,1,0,not good
Fatur Rahman,10/21/2025 13:56,bagus,5,0,bagus
rmdn ballboy,10/21/2025 13:23,"i really love this game but i'm always disappointed with the system. i can't log in using data/wifi, it often disconnects, and i get banned for no reason.",1,0,really love this game but im always disappointed with the system cant login in using datawifi it often disconnects and get banned for no reason
kaji erorr,10/21/2025 12:55,geme anj,5,0,geme anjing
Achmad Sayy,10/21/2025 12:13,ini game susah banget dh masuk nya harus bnyak sabar masuk doang ke dalam game susah bangeetttttt,1,0,game susah banget masuk bnyak sabar masuk doang game susah bangeetttttt
Fubuki,10/21/2025 11:51,banyak player casino dan bot,1,1,player casino bot
Natalia Nini,10/21/2025 11:46,i love gt,5,0,love
Ervin Syaeful anwar,10/21/2025 11:33,ubisoft fix the server pls and banning bot,3,0,ubisoft fix the server pls and banning bot
cecok deps,10/21/2025 11:26,"gamenya suka ngeban orang tanpa alasan yang jelas, mohon perbaiki",1,0,gamenya suka ngeban orang alas mohon baik
Aditya Pernando,10/21/2025 10:41,game rusak banyak bot ketimbang player. player yang asli malah kaga di urus,1,0,game rusak bot ketimbang player player asli kaga urus
kyandra anjayy,10/21/2025 8:13,"bro i hate this game, i can't login, when i try to login it's say ""try to login again"" tf u mean i already try 1000x cmon bruh fix this dumb ahh game",1,0,bro hate this game cant login when try to login its say try to login again tf mean already try cmon bruh fix this dumb ahh game
Bapak Gue,10/21/2025 7:53,"game ini mempunyai sistem banned yang buruk bayangin aja lagi enak enak jual world tiba tiba akun ke suspend dengan alasan ""spamming"" padahal saya cuma ngetik setiap 30 detik sekali enggak nyepam,terus pas hubungin cs katanya ""ban ini valid"" valid dari hongkong",1,0,game sistem banned buruk bayangin enak enak jual world akun suspend alas spamming ngetik detik nyepamterus pas hubungin cs ban valid valid hongkong
