userName,at,content,score,thumbsUpCount
YT•RIZ GANT OFFICIAL,10/21/2025 15:36,game nya susah banget anj cuman buat login bikin akun di persulit game konfl,1,0
Bang Rama,10/21/2025 14:57,🤑,5,0
muhammad ridho official,10/21/2025 14:42,not good,1,0
Fatur Rahman,10/21/2025 13:56,bagus,5,0
rmdn ballboy,10/21/2025 13:23,"i really love this game but i'm always disappointed with the system. i can't log in using data/wifi, it often disconnects, and i get banned for no reason.",1,0
kaji erorr,10/21/2025 12:55,geme anj,5,0
Achmad Sayy,10/21/2025 12:13,ini game susah banget dh masuk nya harus bnyak sabar masuk doang ke dalam game susah bangeetttttt,1,0
Fubuki,10/21/2025 11:51,banyak player casino dan bot,1,1
Natalia Nini,10/21/2025 11:46,i love gt,5,0
Ervin Syaeful anwar,10/21/2025 11:33,ubisoft fix the server pls and banning bot,3,0
cecok deps,10/21/2025 11:26,"gamenya suka ngeban orang tanpa alasan yang jelas, mohon perbaiki",1,0
Aditya Pernando,10/21/2025 10:41,game rusak banyak bot ketimbang player. player yang asli malah kaga di urus,1,0
kyandra anjayy,10/21/2025 8:13,"bro i hate this game, i can't login, when i try to login it's say ""try to login again"" tf u mean i already try 1000x cmon bruh fix this dumb ahh game",1,0
Bapak Gue,10/21/2025 7:53,"game ini mempunyai sistem banned yang buruk bayangin aja lagi enak enak jual world tiba tiba akun ke suspend dengan alasan ""spamming"" padahal saya cuma ngetik setiap 30 detik sekali enggak nyepam,terus pas hubungin cs katanya ""ban ini valid"" valid dari hongkong",1,0
Aflaha Mukmin S,10/21/2025 7:31,terkena ban tanpa alasan.,1,0
Rahmat Nurhidayat,10/21/2025 7:27,bagus,5,0
Faiz Naufal,10/21/2025 4:58,server not godd,1,0
Zaidan,10/21/2025 2:25,server jembot,1,0
Mohamad Sudar,10/21/2025 2:14,"semakin lama, semakin gak bisa login gak ngerti lagi sama ubisoft apa indonesia sudah tidak boleh memainkan growtopia? padahal dulu lancar-lancar saja jika mau bermain growtopia kenapa sekarang susah banget ya",1,0
dyoo rumagit,10/21/2025 2:11,bagus,5,0
Abraham Panjaitan,10/21/2025 2:00,saya menonton iklan 3x untuk pet battle heal dan saya tidak mendapat kan reward nya,1,8
Iyan_7,10/20/2025 20:09,streess pas log drama mulu,1,0
Lili Indrawati,10/20/2025 19:35,server nyaa tolong do perbaiki lagi sama bot spam nya banyak banget tambah mods kalo bisaa yaa,1,2
Arfianto Prastyo Wibowo,10/20/2025 15:52,"udahlah pake login kek dulu aja, sekarang malah dipersulit mau login aja dipersulit.",1,0
Muhammad Syafiq,10/20/2025 15:34,"gamenya bagus sih,yang bikin jelek ya karena banyak botnya aja.",5,0
Tito Arroshid,10/20/2025 15:30,"sangat memorable, tapi tolong servernya lebih dimantapkan lagi🙌🏻",4,0
Mhmmd brizqyaja,10/20/2025 15:08,good,5,0
Erlan Mnwr,10/20/2025 13:38,fix ur server,1,0
Smug Hatt,10/20/2025 13:04,game burik loading lama bgt dongoo dongo,1,0
Mondes.co. id,10/20/2025 12:49,dead game bad server bruh,1,6
Wendy,10/20/2025 12:48,game tolollllll,1,2
Eisen Louis,10/20/2025 12:46,bagus,5,0
LHUTFI SHORT,10/20/2025 12:28,susah login,1,1
athayanurul hidayah,10/20/2025 11:34,enak banget game-nya,5,0
Nicho Nicholas ryan putra,10/20/2025 10:25,saya suka game ini😁😁,5,0
Muhammad Azriel Baihaqi,10/20/2025 9:49,please fix the f***n server 🥰🥰🥰,3,0
about 23,10/20/2025 8:58,"bad game , this game its not for fun , system banned player no reason , so dont waste your time , gl",1,0
David napu,10/20/2025 8:43,perbaiki lagi server,5,0
Halby1216E (Albert Einstein),10/20/2025 8:30,🧢,5,0
Ammar 999,10/20/2025 8:18,gamenya lumayan seru,5,0
DA Bz,10/20/2025 7:25,game burik masa windah di ban,1,0
3_Bharyo Arriq Valiant_331,10/20/2025 7:25,"gem tolol masuk aja dipersulit,entah using vpn ,error connection,ban temporary,please try again kah,ip keblokir ada aja masalahnya.",1,1
Ness Rmx,10/20/2025 7:08,developer taii game samapah delete aja asuu,1,0
Saskia M sabri,10/20/2025 6:32,bad game,1,0
LiiKu,10/20/2025 6:30,buruk dari segi banyak hal. contoh kecil server terlalu buruk,1,0
Nathan Store,10/20/2025 5:37,game ta1 kebanyakan bot update terus tapi ga pernah ilangin bot,1,0
Rei Gunawan,10/20/2025 2:45,"mau login aja ribet bgt harus sering login usher name pass, trus disuruh check connection jgn pake vpn pdhl ga ad pake. mau main aja ribet bgt",1,0
Dani Satria,10/20/2025 1:43,"server dh penuh sama bot semua, bahkan trader pun ga sampe 10k gw liat2 di semua trade world plis admin bantu bot singkirin semua bot cuy demi kenyamanan bersama. gw mau login aja susah nya minta ampun padahal sepele bgt cuma mau farming/massing farmable item, gmn mau famous klo isinya bot semua dan itu yg bikin currency gt menurun plis perbaiki growtopia kek dlu🙏",1,0
soul land,10/20/2025 0:28,"server ancur, suka suspen player legal, kalo ga niat ngurus game mending jual ke pihak lain aja yang lebih bertanggung jawab",1,0
TheDhaniBro,10/19/2025 23:49,"sering bermasalah dari server maupun gameplay. entah kenapa sering dc, ngelag, dan kena pelanggaran vpn padahal aku gak makek vpn sama sekali.",1,15
FARRE L,10/19/2025 17:49,"i just logged in, why is it taking so long?",1,0
Jonson Oppo,10/19/2025 16:54,akun udah lama gk dimainin pas on mlh dh ke ban dasar game gajelasss udah hapus aja tu game,1,0
Rezii,10/19/2025 16:53,susah login pake data pake wifi aman aman aja,1,0
Mugen Tsukoyomi,10/19/2025 16:50,can ur back my money.. i wanna quit.. ur server is destroy..,1,2
Kelvin Yy,10/19/2025 16:50,game kacau ini baru new player udah kena ban permanen.,1,0
Rafly Akbar,10/19/2025 16:07,super duper very very bad server,1,0
Damar agung wicaksono,10/19/2025 16:02,server buruk,1,0
Farid Abil,10/19/2025 15:55,idiot game server lag kontolll,1,0
ozan 12,10/19/2025 15:33,"server lag terus, dikit dikit dc, ercon",1,0
Ruli Gemoy,10/19/2025 15:23,bagus tapi suka gagal login jadi kesel,2,0
Linda Tandean,10/19/2025 14:44,keren,5,0
Lanapajar,10/19/2025 14:25,tutup dh ini game kebanyakan drama,1,0
Rumah Ku,10/19/2025 13:39,game yg bgs,1,0
Naufal Firdaus,10/19/2025 13:08,masuk world ngeleg,1,0
Pixel Nihdeck,10/19/2025 12:46,jelek tidak memuaskan masa youtuber aja di banned padahal ga ngapa ngapain,1,0
Septian Harry,10/19/2025 12:36,"banyak bot, banyak scammer, banyak hackers, tidak diselesaikan oleh ubisoft. sudah main bertahun tahun membangun kerajaan akhirnya kena hack juga.. tolong keamanan akun player dan server di tingkatkan..",2,0
Arrien Satoru,10/19/2025 12:15,oi ubi lembu lama banget maintenance ya apan dah,1,0
Fata ID,10/19/2025 11:50,aplikasi keren game nya seru beut dah,1,0
Onag Hh,10/19/2025 11:48,game yang sangat seru,5,2
Rkinn,10/19/2025 11:48,"permasalahan tentang login, jelek,lama,males main🙄😹😹😹",1,0
KaDaL Pixel,10/19/2025 11:23,semangat benerin server,4,0
Endangstyaningsih,10/19/2025 10:57,"gamenya bagus,tapi saya terkena ban dua akun tanpa alasanya pls saya minto tolong",5,0
HASSO B,10/19/2025 10:23,"trash game lol, gt its dead game in 2025",5,0
Claim Item,10/19/2025 10:01,"hello growtopia, i want to ask something. why is it that when i want to play growtopia again after eating, a screen appears that says ""growtopia is under maintenance."" i tried logging out of my account and logging back in, but it's still the same. i tried uninstalling growtopia and downloading it, but it's still the same. what should i do?",5,0
Andre_ waeee,10/19/2025 10:01,kok bisa kena ban padahal gak main casino tapi alasan ke ban gara gara casino,1,0
Muflih Rasyid,10/19/2025 9:43,mantap game nya bagus tapi scammer banyak,1,0
01. AERIO RIZKI BIMA SAPUTRA,10/19/2025 8:28,game busuk windah di ban lu begok,1,0
Jovandi,10/19/2025 8:24,bgus la,5,0
Riskipipit Riskipipit,10/19/2025 7:57,gamenya jelek banget,1,0
giordano,10/19/2025 7:53,gameny keren dan menyenangkan game ini juga mengajarkan kita banyak hal,5,0
Baca Baca,10/19/2025 7:51,susah banget mau login conection error mulu,1,3
Kelvin Wi,10/19/2025 7:42,keren,5,0
Mahyu din,10/19/2025 6:18,ty for game,5,0
Kluyuttt _____,10/19/2025 6:16,huuu,1,0
Shinjii Hirako,10/19/2025 5:03,dev gblk gada niat perbaiki server banyak bot auto hapus aja ni game,1,0
Agilafk,10/19/2025 4:39,gamenya sangat bagus dan menyenangkan,5,0
Pp Mm,10/19/2025 3:46,"game jelek mending hapus aja.... !! padahal wifi bagus lancar kok kesalahan jaringan lah, pake vpn lah, perbaiki lah game ini kok jelek amat dalam pemrosesan server dan hapus bot yang ada di server server nya...... !!! malas main kalo beginimah",1,2
DRAGON oskar,10/19/2025 3:41,banyak akun bot yang login,5,0
channel Yuki,10/19/2025 2:29,bot nya yaampun tolong di kondisikan,1,0
Herdi Ramadhani,10/19/2025 1:50,game bagus tetapi bukan player yang main bot semua isinya 100k online 80k bot mohon di perbaiki,3,1
Ersa Andrian,10/19/2025 1:41,fix failed login,1,0
Desen,10/19/2025 1:13,server susah mau tidak guna game hancur banyak bot,1,1
Ryan Pradana,10/19/2025 0:02,"tiap mau login ada notif ""check your internet and make sure you not using vpn"" lahh gua ga main pake vpn kocak gitu aja trus aneh , benerin lah nih servernya",1,0
Syahrul Ramadhan,10/18/2025 23:28,"kenapa pihak developer membanned akun windah basudara ? jangan beralasan kembalikan dan buka suspend atau banned dari pihak developer,kami akan naikan rating setelahnya.kirim email ke youtuber windah basudara dengan permohonan maaf dan juga hadiah sebagai permohonan maaf seperti item langka dalam game",5,0
Riodwiriii Pangestuu,10/18/2025 23:02,server jelek,1,0
Wahyu Kurniawan,10/18/2025 22:50,"tolong min sistem loginnya di perbaiki pas mau login selalu eror connection, failed login try again, dituduh using vpn padalah ga tolong la gw mau comeback maen game ini",3,0
Fathir Pasha Ramadhan,10/18/2025 21:04,"woi ubi lembut benerin server lu lah biar player pd enjoy mainnya, mls bgt stiap lgi asik main psti dc, trus tiba tiba ercon apa bgt anj, blom lgi yg ban asal asalan pdhl ga salah tapi kena ban",1,0
Muhammad Abyan Hilmy,10/18/2025 20:52,error connection mulu anj,1,0
"Dignasia Palani Anggari, S. Pd.",10/18/2025 18:41,permai an ini sangat seru,5,0
Rayyan Saputra26,10/18/2025 17:26,"please fix the server to make players enjoy playing, instead of making them bored because of constant disconnects/errcons.",2,0
Muhammad Raihan Noor,10/18/2025 15:18,aneh mau login aja susah di kira pake vpn kocak,1,0
Sebastianus Cahyadi,10/18/2025 14:45,good game,5,0
Nabil Yanwar,10/18/2025 14:19,mantap!!!!,5,0
JunBal Ridho,10/18/2025 14:02,game rusak,1,0
Wahyu W.,10/18/2025 12:46,"ada bug yg menurut saya sangat mengganggu ketika ingin chat dengan player lain, suka tiba tiba ilang ngga terkirim chatnya",1,0
Evening Meo,10/18/2025 12:38,"hapus gt bikin new game mirip seperti growtopia dengan sistem ya g lebih bagus, sistem gt saat ini sangat busuk buruk",1,0
Muhammad Aqso,10/18/2025 12:35,dead game lol don't update this game lol ubisof kontol,5,0
